Fichero actualizado a fecha: 2019-03-07 03:11:01
Título;Descripción;Tag;FechaCreacion;FechaUltimaActualizacion;Frecuencia de actualización;Sector;Organismo responsable;AmbitoGeografico;Licencia;Formatos disponibles para descarga;EnlaceMasInformacion;Identificador;ultimaActualizacion;Enlace al contenido;
"Calificaciones de Zonas de Agua de Baño";"<p>Resumen de las calificaciones obtenidas en cada Zona de Agua de Baño en Castilla y León durante la temporada de baño del año correspondiente (del 15 de junio al 15 de septiembre de cada anualidad).<br />
<br />
La valoración de la aptitud de las aguas de baño se realiza a tenor de lo establecido en el Decreto 80/2008, de 27 noviembre, sobre la gestión sanitaria de la calidad de las aguas de año de la Comunidad de Castilla y León y la Orden SAN/2207/2008, de 22 diciembre por la que se desarrolla parcialmente el Decreto 80/2008.</p>
<p>Nota aclaratoria sobre los datos:</p>
<ul>
<li><strong>A</strong>: AGUA APTA PARA EL BAÑO</li>
<li><strong>N</strong>: AGUA NO APTA PARA EL BAÑO</li>
</ul>
<p></p>";"salud pública, calificaciones, agua, baño";"20181221";;"Anual";"salud";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV";"https://www.saludcastillayleon.es/es/zonasdebano/zonas-aguas-bano-castilla-leon";1284840207211;20181221;"https://datosabiertos.jcyl.es/web/jcyl/set/es/salud/calificaciones-aguas-bano/1284840207211";
"Actividad Analítica de los Laboratorios de Control Oficial";"<p>La actividad analítica de los laboratorios de control oficial estudia el número de muestras analizadas y las determinaciones llevadas a cabo, desglosado por tipo.</p>
<p>Aclaraciones a tener en cuenta:</p>
<ul>
<li>Las columnas ""Número de muestras analizadas por tipo - PNIR"" y ""Número de determinaciones realizadas por tipo - PNIR"" hacen referencia al Plan nacional de investigación de residuos en productos de origen animal.</li>
<li>En las columnas ""Número de muestras analizadas por tipo - Otras"" y ""Número de determinaciones realizadas por tipo - Otras"" se incluyen colaborativos, controles internos, superficies de trabajo, coprocultivos, etc.</li>
</ul>";"salud pública, actividad analítica, análisis, laboratorios de control, oficial";"20181221";;"Anual";"salud";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV";"https://www.saludcastillayleon.es/transparencia/es/transparencia/sanidad-cifras/informes-estadisticos/ordenacion-tematica/salud-publica/actividad-analitica-laboratorios-control-oficial";1284839618761;20181221;"https://datosabiertos.jcyl.es/web/jcyl/set/es/salud/laboratorios-control-oficial/1284839618761";
"Actividad Inspectora en los Mataderos";"<p>La actividad inspectora en los mataderos estudia el número de animales sacrificados y por tanto, sometidos a control e inspección veterinaria, desglosados por especie.</p>
<p>Aclaraciones a tener en cuenta:</p>
<ul>
<li>Las columnas ""N animales sacrificados en los mataderos de Castilla y León por cabeza - Aves de corral"" y ""N de sacrificios en los mataderos de Castilla y León en UGM - Aves de corral"" incluyen pollos de cebo, gallinas de puesta y otras aves (palomas, patos, etc.).</li>
<li>las columnas ""N animales sacrificados en los mataderos de Castilla y León por cabeza - Ungulados - Porcina"" y ""N de sacrificios en los mataderos de Castilla y León en UGM - Ungulados - Porcina"" incluyen lechones.</li>
</ul>";"salud pública, actividad inspectora, análisis, mataderos";"20181221";;"Anual";"salud";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV";"https://www.saludcastillayleon.es/transparencia/es/transparencia/sanidad-cifras/informes-estadisticos/ordenacion-tematica/salud-publica/actividad-inspectora-mataderos";1284839730829;20181221;"https://datosabiertos.jcyl.es/web/jcyl/set/es/salud/actividad-inspectora-mataderos/1284839730829";
"Censo de actividades turísticas complementarias";"<p>Relación de actividades turísticas complementarias de Castilla y León</p>";"Turismo, actividades turísticas, complementarias";"20180104";;"24 horas de lunes a viernes";"turismo";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV";"http://www.turismocastillayleon.com";1284774596837;20180108;"https://datosabiertos.jcyl.es/web/jcyl/set/es/turismo/actividades-turisticas-complementarias/1284774596837";
"Relación de eventos de la agenda cultural categorizados y geolocalizados";"<p>Relación de eventos de la agenda cultural que se celebran en Castilla y León desde el día en el que se realiza la consulta en adelante, incluyendo la categoría a la que pertenecen y las coordenadas geográficas del lugar de celebración.</p>
<p>El fichero incluye un registro por evento y fecha de inicio, es decir, aquellos eventos con varias fechas de inicio se reflejarán en el dataset con tantas entradas como fechas de inicio contengan.</p>";"eventos, agenda, cultural, hoy, actual, coordenadas, categorías";"20180601";;"Cada 4 horas";"cultura-ocio";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV, JSON, XML";"https://cultura.jcyl.es/web/jcyl/Cultura/es/PlantillaBuscadorContenidos/1284271278992/EventoACUL/1284725780294/_?p0=true";1284806871500;20180702;"https://datosabiertos.jcyl.es/web/jcyl/set/es/cultura-ocio/agenda_cultural/1284806871500";
"Registro de agentes de cooperación para el desarrollo de Castilla y León";"<p>Se consideran agentes de cooperación para el desarrollo aquellas entidades, de carácter público o privado, que intervengan en las tareas de cooperación para el desarrollo y compartan y respeten los objetivos y principios previstos en la LEY 9/2006, de 10 de octubre, de Cooperación al Desarrollo.</p>
<p>La inscripción en el Registro de Agentes de Cooperación al Desarrollo de Castilla y León es un requisito imprescindible para que aquellos organismos o entidades de nuestra Comunidad, que no sean Administración Pública, puedan recibir ayudas de la Administración de Castilla y León.</p>
<p>El listado del presente registro corresponde con aquellas entidades que cumpliendo los requisitos mencionados tengan domicilio social en el territorio de la Comunidad Autónoma o delegaciones o sedes permanentes radicadas en este territorio.</p>";"registro, agentes, cooperación, desarrollo, ONG";"20171023";;"Diaria";"sociedad-bienestar";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV";"https://www.jcyl.es/web/jcyl/AdministracionPublica/es/Plantilla100/1284405877061/_/_/_";1284830124781;20181023;"https://datosabiertos.jcyl.es/web/jcyl/set/es/sociedad-bienestar/agentes-cooperacion/1284830124781";
"Bienes inmuebles cedidos a terceros";"<p>Relación de bienes inmuebles de su propiedad cedidos a terceros por cualquier título, la persona o entidad cesionaria y el uso al que se destina el inmueble.</p>";"bienes inmuebles, información patrimonial";"20171220";;"Anual";"sector-publico";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV";"https://gobiernoabierto.jcyl.es/web/jcyl/GobiernoAbierto/es/Plantilla100/1284485260597/_/_/_";1284771878754;20180315;"https://datosabiertos.jcyl.es/web/jcyl/set/es/sector-publico/bienes-inmuebles-cedidos/1284771878754";
"Calidad de las Aguas de Consumo Humano";"<p>Información sobre las zonas de abastecimiento de agua de consumo humano de Castilla y León, sus infraestructuras y la calidad sanitaria de las aguas abastecidas.</p>";"salud pública, calidad, agua, consumo humano";"20181221";;"Anual";"salud";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV";"https://www.saludcastillayleon.es/transparencia/es/transparencia/sanidad-cifras/informes-estadisticos/ordenacion-tematica/salud-publica/calidad-aguas-consumo-humano";1284839789043;20181221;"https://datosabiertos.jcyl.es/web/jcyl/set/es/salud/calidad-aguas-consumo/1284839789043";
"Calidad de las Aguas de Recreo";"<p>Información sobre las aguas de recreo de Castilla y León: censos, número de expedientes sancionadores, visitas, actas, controles y toma de muestras desagregados por provincia.</p>";"salud pública, calidad, agua, recreo";"20181221";;"Anual";"salud";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV";"https://www.saludcastillayleon.es/transparencia/es/transparencia/sanidad-cifras/informes-estadisticos/ordenacion-tematica/salud-publica/calidad-aguas-recreo";1284839790324;20181221;"https://datosabiertos.jcyl.es/web/jcyl/set/es/salud/calidad-aguas-recreo/1284839790324";
"Calidad del aire (por días)";"<p>Datos diarios de concentración de contaminantes registrados en las estaciones de control de la calidad del aire de la Junta de Castilla y León</p>";"Calidad del aire, medio ambiente, atmosfera, contaminación,diario";"20120327";;"Semestral";"medio-ambiente, salud";"Junta de Castilla y León";"Castilla y León";"CC-BY";"CSV, JSON, XML";"http://servicios.jcyl.es/esco";1284212629698;20180907;"https://datosabiertos.jcyl.es/web/jcyl/set/es/medio-ambiente/calidad_aire_historico/1284212629698";
